STDZD_PROP_CITY,state,minlat,maxlat,minlon,maxlon
PARRISH,AL,33.6126,33.800556,-87.348695,-87.184877
PELHAM,AL,33.243668,33.379139,-86.830605,-86.721863
PELL CITY,AL,33.495913,33.67162,-86.478517,-86.189935
PENNINGTON,AL,32.188345,32.2316,-88.1069,-88.016928
PERDIDO,AL,30.977293,31.07924,-87.720253,-87.594831
PETERMAN,AL,31.557663,31.688325,-87.357573,-87.135826
PHENIX CITY,AL,32.356626,32.5276,-85.245424,-84.98967
PHIL CAMPBELL,AL,34.281868,34.426913,-87.85847,-87.579905
PIEDMONT,AL,33.749289,34.09265,-85.797821,-85.399214
PIKE ROAD,AL,32.19794,32.399659,-86.184507,-86.007197
PINE APPLE,AL,31.831244,32.040008,-87.1601,-86.904021
PINE HILL,AL,31.875219,32.0837,-87.663016,-87.434765
PINSON,AL,33.654175,33.805801,-86.731987,-86.556657
PISGAH,AL,34.58868,34.744173,-85.895904,-85.706176
PITTSVIEW,AL,32.071506,32.260878,-85.27211,-85.007669
PLANTERSVILLE,AL,32.567122,32.709463,-86.99381,-86.7778
PLEASANT GROVE,AL,33.465572,33.517203,-87.007324,-86.942228
PRATTVILLE,AL,32.373968,32.686615,-86.739613,-86.391496
PRINCETON,AL,34.828022,34.89605,-86.303498,-86.200111
QUINTON,AL,33.553432,33.724667,-87.212211,-87.045715
RAGLAND,AL,33.653042,33.801228,-86.295895,-86.050016
RAINBOW CITY,AL,33.865761,33.988406,-86.16604,-85.9124
RAINSVILLE,AL,34.450062,34.58006,-85.908012,-85.759315
RALPH,AL,33.019891,33.146339,-87.84632,-87.708156
RAMER,AL,31.991739,32.224027,-86.32244,-86.010716
RANBURNE,AL,33.490803,33.614836,-85.452512,-85.306272
RANDOLPH,AL,32.856507,33.006135,-86.950427,-86.827723
RANGE,AL,31.3031,31.312268,-87.2595,-87.2359
RED BAY,AL,34.321624,34.57905,-88.171058,-88.004035
RED LEVEL,AL,31.348836,31.5157,-86.646102,-86.4601
REFORM,AL,33.302412,33.525452,-88.148656,-87.933734
